tweet_wakati,emoji
"若い 頃 「 尾崎 紀 世 彦 」 そっくり 😁 その 娘 （ いとこ ） は 元 セブン ティーン 高知 代表 で モデル も し て い た 🎵 他 に 前回 の 大阪 万博 の コンパニオン はじめ メディア に 引っ張りだこ な の や 父親 の 転勤 先 で CM や 行事 や ミス 〇 〇 に 推薦 さ れ まくり な いとこ も 👍 
",😁
"美味し そう です ね 😁👍 
",😁
"営業 し て ます 😁😁 
",😁
"さて 台湾 さん … どう し ます か ？ 😁 
",😁
"半年 かかっ た けど 取れ まし た 😁 
",😁
"ランク 楽しい 😁😁 
",😁
"今宵 お 付き合い いただい た 皆様 に 感謝 ♪ 😁👍 ✨✨ 
",😁
"ありがとう ね 、 嫁さん の 力 は 偉大 な ん だ ぞ 〜 😁 だから 、 年上 の 旦那 さん で も 遠慮 なんか いら ない ん だ ぜ 〜 🌟 
",😁
"イヒヒッ 😁 
",😁
"アンチ 来 て も 投稿 し まくっ てる ねん けど な w 評論 家 に 勝つ ため に 😁💦 
",😁
"勿論 、 ワクチン 効果 が 飛び抜け て いる の は 事実 だ けど ね 😁 
",😁
"自慢 じゃ ない けど 、 『 社内 で ダントツ トップ 』 😁 
",😁
"凄い と 言っ て くれ て ありがとう ー ✨ 😁 ✨ 
",😁
"です ね 😁👍 
",😁
"まぁ 当日 は テレビ の 前 で 全裸 待機 安定 っす ね 😁 
",😁
"コア の レビュー 待っ て ます 👊😁 
",😁
"うめ ちゃん は もう 御意 組 👍😁😊 
",😁
"性 成熟 が 8 〜 12 ヶ月 と ある ので 、 それ まで は 成長 期 かなっ て 😁 
",😁
"戸部 くん と 私 の カップリング 固定 です 地雷 です 去れ ーーーーーーーーーーーーー 😀😃😄😁😆😅😂🤣🥲 ☺ ️ 😊 😇 🙃 🙂 😉 😌 😍🥰😘😗😙😚😋😛😝😜🤪🤨🧐🤓😎🥸🤩🥳😏😒😞😟😔😕🙁 ☹ ️😣😖😫😩🥺😢😭😤😠😡🤬🤯😳🥵🥶😱😶 ‍ 🌫 ️😨😰😥😓🤔🤗🤭🤫🤥😶😐😑😬🙄😯😦😧😮🥱😲😴🤤😪😮 ‍ 💨😵😵 ‍ 💫🤐🥴🤢🤮🤧😷🤒🤕🤑🤠 
",😁
"すごく 嬉しい です 😁 
",😁
"イフリート 改 完成 致し まし た 😁 
",😁
"はっ ぱどこ ォ ？ 😁 
",😁
"かち お め 😁 ピチピチ 🐟 
",😁
"✨ 🤗🍻😁🍻 ☺ 🍻️😌 ✨ 
",😁
"ありがとう 😢😁 
",😁
"まぁ 使う けど 😁😁😁 
",😁
"全部 やっ て くれる か と 思っ て まし た 😁 
",😁
"翻訳 が 知り たく ない です 😁 
",😁
"基本 予約 無し で OK です 〜 週末 は 電話 で 聞い た 方 が 無難 です 😁😁 今回 は 予約 なし で OK ( むしろ ネット で 予約 する と 休日 料金 に なる から し ない で ！ って 言わ れ まし た 〜 笑 ) 
",😁
"なんて 太っ腹 ！ 😁 
",😁
"温泉 行こ う ‼ ️😁 ( 韻 を 踏み に 行き まし た )( は ？ 以外 で 返し て ね 😁 ) 
",😁
"も こう くん 😁😁😁 
",😁
"また 知ったかぶり の 自滅 ？ も 終わっ てる 人 だ ね 😁🇯🇵 
",😁
"突撃 する ー 😁 
",😁
"あっ 、 これ は 作っ て ない です よ 🤨😁 
",😁
"怖い ねん 誰 だれ 、 ニッ ！ ハッ ！ 😁😆 
",😁
"イフリート 改 完成 致し まし た 😁 
",😁
"美味しい です ね ！ 暫く ハマり そう です 😁 
",😁
"どんな 不安 も ぶっ飛ばす この 曲 ！ こりゃ 寝れ ん わ な 😁 
",😁
"今しがた 抜き まし た ‼ ️😁 
",😁
"嬉しい です 😁 
",😁
"買っ て み た 😁 
",😁
"やっ た ー 😁 
",😁
"は ～ い 😁 
",😁
"今日 は まだ トラブ って ない 😁 
",😁
"２ 時間 くらい 進め まし た 😁 
",😁
"温泉 行こ う ‼ ️😁 ( 韻 を 踏み に 行き まし た )( は ？ 以外 で 返し て ね 😁 ) 
",😁
"醍醐 車 です ね 😁 
",😁
"半年 かかっ た けど 取れ まし た 😁 
",😁
"温泉 行こ う ‼ ️😁 ( 韻 を 踏み に 行き まし た )( は ？ 以外 で 返し て ね 😁 ) 
",😁
"うち に は シャア 専用 が ある けど 、 これ も 家宝 よ 😁 
",😁
"宜しく お願い 致し ます 😁 
",😁
"温泉 行こ う ‼ ️😁 ( 韻 を 踏み に 行き まし た )( は ？ 以外 で 返し て ね 😁 ) 
",😁
"納車 おめでとう ござい ます 😁 ㊗ 
",😁
"、 、 、 😁💦 
",😁
"‹ ⸝⸝ᐡ 昨日 は 急遽 出勤 ！ って なっ た の に 来 て くれ て ありがとう o (╥﹏╥) o やっぱり 喋り やすく て 涙 涙 って 感じ だ た 😭😭 これから も ゆき を あまやかし て ください 今 以上 に 懐き ます 😁 ‼ ️ だい ちゃん も お疲れ様 〜 💪🏻 ✨ 早く 寝 て 早く 起き て オタク しよ う なぁ 👊 私 は ねむたい ので ね ます ！ ありがと 
",😁
"この 後 は 最新 情報 ！ お 見逃し なく 😁 
",😁
"実は ほとんど 剣 メ が 解決 し てる 😁 ✊ 
",😁
"あと 昨日 、 店長 に なる ため の 最終 試験 に も 合格 し た ので 「 ラッパー の ラッパー による ラッパー の 為 の 焼肉 屋 」 もうすぐ 出来 ます 😁👍 
",😁
"サラー 決め て nana さん 嬉しい だろ なー 思い まし た ！ 😁 
",😁
"今日 は こちら も 涼しく て お 散歩 日和 だっ た よ 😆 ジェジュン から お誘い 受け て うれしかっ た な 😊 これから の 季節 🍁 外 で 運動 が 気持ちいい ね 😊 そして 動い た あと は ご飯 が 美味しい 😁 
",😁
"今日 から 松戸 競輪 いっ て き ます 😁 
",😁
"ご 期待 下さい ♪ 😁 
",😁
"ナイス だ ね 👍😁 
",😁
"そこ は クリア し てる から 、 あと は 自分 を 褒め て あげ なきゃ 😁 
",😁
"ある 意味 イベント 事 や ねん から 😁 
",😁
"俺 も 最近 見 た けど 面白かっ た 😁 
",😁
"はく 、 のっぽ 、 ぼ ぼろ 😁👍 
",😁
"これ を 言わ れ て 、 何 度 か 本当に ピンチ が あっ た けど 、 覚悟 決め た 時 に 扉 が 開け て 何とか なっ て き た 😁 
",😁
"自分 より サイコ すぎる 他人 は 面白い から 参考 に しよ う 😁 
",😁
"ふ ぁいと ーー 😁 
",😁
"心 の つっかえ て た 物 が 少し でも 軽く なっ た の なら 良かっ た です 😁 
",😁
"ちょっと まっ ちゃ ー REAL ゾロ 目 チャンス 来 てる やん かい ー ぼん と ぅびもちょこちょこ 伸び てる 😁 
",😁
"顔色 が 良い ! w 😁😋 
",😁
"ショタ だ よ 😁 可愛い ほんとに 
",😁
"めちゃくちゃ 嬉しい です 😁 
",😁
"お疲れ様 でし た 😁 
",😁
"久しぶり に ライン 巻き 替え て リーダー 結ん だ ！ リーダー が 40 lb 、 50 lb って なる と 季節 感じ て ワクワク し ます ね 😁 
",😁
"おやすみ 言っ て おく 😁 
",😁
"この 後 は 最新 情報 ！ お 見逃し なく 😁 
",😁
"え ん むに 術 かけ られ た みたい な 睡魔 き た から お ねんね する … … 鬼 滅 キッズ です 笑 笑 😁 
",😁
"何 日 分 の 野菜 ？ と 思う ほど 入れ て 蒸し焼き し た けど 、 2 食分 ほど の ボリューム に なっ た 😁 
",😁
"本当に 予約 し て 良かっ た です よ ね 😁 この 値段 で これ だけ の 物 が 作れる ん です から 某 自称 高級 フィギュア メーカー に も 見習っ て いただき たい もん です 🤔 w 
",😁
"パライソ 鶴 さん 聴い て たら も ーー 描き たく なっ ちゃっ て 😁💦 
",😁
"欲しい って 言っ て くれ て た 自 撮り 上げ とき ます ね 😁 
",😁
"お茶漬け 食べ ます 😁 
",😁
"素 組 し て あっ た の を widow 風 に 塗っ て み まし た 。 黒色 で だいぶ 苦戦 し まし た が 組ん だら 良い 感じ に なっ た か と 思い ます 😁 
",😁
"また やろ ー ねー 😁 相変わらず ゆ ぴまるの インポ 率 やっ た な 😍 
",😁
"只今 、 午前 ２ 時半 💦💦💦 やっぱり 地元 は ええ なぁ 😁 カンテ レ で 昨日 の 対 イーグルス 戦 、 放映 し てる 🤩 ムネリン の ホームラン 😁 モヤ の タイムリー 😁 そして 由 伸 の 快 投 ❤ ️ 
",😁
"📺 は TV の 良 さ は ある な 😁 
",😁
"これから 順位 あげ て く から 焦ら ない よ 😁😁 
",😁
"1 番 で は ない かも だ けど 本 の 全巻 大人 買い ... 😁 
",😁
"見つかっ た の ね ✨ 😉😁 ❣ ️ 
",😁
"ミン さん 配信 終わっ たら 配信 は 凄 すぎる 😂 
",😂
"Roomba に 誘拐 さ れる 麺 ちゃん 😂 
",😂
"ゲーム 中 、 Twitter で 絡ん で た 菅田 さん って 気付か なく て さ ー せん し た ！ 😂 笑 
",😂
"エニエスロビー 好き すぎ て 何 回 も 見 てる 😂 
",😂
"バキバキ に 勃起 し てる ちい せ ぇちんこと リス の 脳みそ みたい な 金玉 ほん と 笑う 😂 
",😂
"ホンマに 可愛い やつ はね 本 アコ なんて し ない ん よ 😂 リアル で 可愛い って 言わ れ 慣れ てる んで 🤫 
",😂
"ボード ゲーム ある みたい です ね … 😂 
",😂
"より に も よって 横 岳 で ガ スっ た 😂 
",😂
"誰 や 〜 😂 何 し てん ねん 〜 😂 
",😂
"なるほど 〜 。 実は いつも 友達 と 4 人 で パーティー 組ん で レベル レ に 行っ て た から 、 野良 で 申請 する と 待ち時間 が なんか ソワソワ し て 落ち着か ない ん だ よ ね ( 笑 ) 落ち着い て シャキ 待ち 出来る 様 に なり たい 😂 あっ そう いえ ば 赤 と 機工 士 と 弓 を やり 始め まし た ！ まだ 不慣れ だ けど 今 の ところ は なんとか 出来 そう な 予感 … 
",😂
"ワン ちゃん 用 の 滑り台 ！！！！！ 😂😂 https :// t . co / sybS 9 nxX 9 i 
",😂
"パワプロ ( パワポケ ？) で SPP チーム は ジワ る 😂 
",😂
"楽しかっ た から 良い けど 、 有岡 くん だけ やたら ふわふわ し てる お話 に なっ てる 感じ は する かも 😂 
",😂
"まだ 遊郭 編 も 放送 さ れ て ない のに 、 そんな こと 気 に し て どう する … だ けども 😂😂 
",😂
"切ない 😂 
",😂
"深澤 さん 、 バナナ マン さん と の 相性 めちゃめちゃ 良い 😂 面白 すぎる 😂 
",😂
"初手 レイリー で 煩悩 鳳 とか バグワーム 牽制 し て 味方 に 安全 に 旗 とっ て もらい つつ 瞬間 移動 で 敵陣 に 入り込む の 楽し すぎ て レイリー が やめ られ ない 😂 なお スキル は 全部 透ける 😂😂😂 
",😂
"私 も アニメ とか 動画 見 て テンション 上がっ た 時 に うるさい から うち の こ も 逃げ て く 😂👍 
",😂
"なん なら 、 自動 です ー じ ー の 画像 を 毎 分 ツイート し て くれる アカ 作り たい 😂 そしたら 戦争 無くなる と 思う (？) 
",😂
"是非 是非 ！ 新 要素 探し 楽しい です ね 😂 
",😂
"探せる ほど の 仲 なっ た っけ 😂 
",😂
"流星 くん おめでとう ござい ます 🎉🍾💓💓 さすが すぎる 😂💓 
",😂
"最初 見 た 時 「 誰 !?」 って 思い まし た もん www 色んな 補完 で アニオリ 入れる の は 有り だ と 思っ て ます が 、 モブ や オリ キャラ に アイドル や 芸人 を 使う の だけ は やめ て ほしい と 思い ます 😂 
",😂
"動画 流れ て き た ん だ けど 、 さっき と 衣装 が 違う の よ ！ ！ タイム テーブル ほしい 😂 仮眠 とろ う ！ 睡眠 大事 😪 ✨ 
",😂
"そんな 事 ない でしょ 🥺 ？ でも 今 の プリ 機 目 の 大き さ やばく ない ？ 😂 笑 
",😂
"三 小 😂😂😂 
",😂
"ぽ っ ぷあっぷ Time 、 ま な はる さん と あす くん の トーク が 面白かっ た 😂💓 
",😂
"晴 希 さん こんばんは … ！ ！ ガーディックフォン って なに ぞ ？ の 人間 な ん です が 🍰🥦 に 反応 し て しまい まし た … 😂 良けれ ば 教え て くださる と 嬉しい です 🙌🏻💕 
",😂
"ペイント や けど 😂👍 www 
",😂
"癖 強 すぎ て 好き です 😂😂😂😂 
",😂
"反則 だ よ ね 😂 
",😂
"まぁ 当然 みんな 悪い でも ない けど 😂 ルール は ルール ね 😇 で も 怖い な w 🤣 どん だけ 買っ た の と 思っ て いる w 
",😂
"めちゃめちゃ 楽しかっ た です 😂 ！ ！ ！ 
",😂
"すっかり 告知 忘れ て て こんな 時間 に ツイート し て 参加 者 来る と 思わ ない けども 😂 とりあえず 書い て おく ね ！ 
",😂
"作る 気 に は ぜんぜん なら ない やつ です 😂 とろとろ が 恋しい です 😢 食べ たい 病 伝染 さ せ ちゃっ て すみません ！ 😂 
",😂
"「 シッ 」 😂😂😂😂😂 
",😂
"ジェニーハイ の Live 死ぬ ほど 行き たい 😂 
",😂
"あの 後 も 色々 あり すぎ て ほんと 怖かっ た ぁ 😂 笑 
",😂
"遅 すぎ ？ 😂😂 
",😂
"仕事 で けた 😂 
",😂
"シンバル しょくしよ う ( 煉獄 杏 寿郎 ) と 言い ます 😂😂😂 
",😂
"イオン の 抽選 、 当選 クーポン より も 一番 上 に 新規 会員 向け クーポン 出 て た から 当たっ てる の 気づき にくい やつ 😂😂 
",😂
"MyUniverse は いつ やる か わから ない なら 、 寝 ちゃっ て も いい の か な 😂😂 
",😂
"今回 落書き の 割 に 伸び て 嬉しい 😂 
",😂
"もうすぐ で 3 時間 経つ の に 興奮 おさまら ん 😂 
",😂
"箱 の お 城 😂 
",😂
"の 噂 が ある ので 寝 ます 😂😂😂 
",😂
"て 言う て あめ 玉 騙さ れ やすい タイプ 😂 
",😂
"確か に 😂 
",😂
"これ は たまたま ホラー っぽい 光 の 加減 で ラッキー だっ た 😂 
",😂
"難産 でし た 😂 リクエスト ありがとう ござい まし た ！ ！ 🙇 ‍♀ ️ 
",😂
"熱 が 冷め ない うち に … 😂 
",😂
"いつも の 下手 さ に 磨き が かかっ て 5 時間 も かかり まし た 😂 
",😂
"マンボ ちゃん き て くれ まし た 😂 
",😂
"私 が リビング で 寝 ちゃっ てる 間 に 娘 が 起き た らしく 、 先 に 寝 て た 夫 が 初 夜勤 ( 笑 ) 1 時間 ほど 寝 なかっ た らしく 疲れ 果て て た 😂 大変 さ が 少し は 分かっ た か な ？ 毎日 リビング で 寝 て やろ う か な ？ 😂 
",😂
"それ .. 本当 気 抜い たら 寝 そう 😂😂😂 
",😂
"わたし も もう少し あと だ と 思っ て た から 、 ソウル の 文字 が 出 て 慌て ちゃっ た よ 〜 😂 ！ 
",😂
"零 とか 獄 も 描く の 難し そう だ な ～ 😂 
",😂
"お 顔 描く ので 精一杯 だ よ 😂💦 
",😂
"当たり 屋 グク さん ... 😂😂💕💕 
",😂
"二 度 寝 し て しまう ところ でし た が 😂 
",😂
"脱皮 で 相当 疲れ た ん だ ね 😂 
",😂
"素材 撮影 で A 2 B やってき た 〜 !! スタジオ 撮影 めちゃくちゃ 久しぶり で 緊張 し た 😂 と ぅび は 自 撮り 不十分 で 撮れ なかっ た 🥺 
",😂
"さすが 田舎 ！ 私 が 最初 の BESTY だっ た らしい 😂 
",😂
"ありがとう 😂😂😂 
",😂
"Butter ある の か どう な の か 、 見れる の か 見れ ない の か って 待機 し てる 😂😂😂 
",😂
"くわ ちゃんと 二 人 で 遊ぶ 😂 
",😂
"性欲 が 強 すぎ て 自分 が 嫌 に なる 😂 
",😂
"あれ 、 いつも 通り RT し てる けど 黄色 に なら なくなっ た ？ ？ リプ し まくっ てる だけ か な 😂 
",😂
"でも 鍵 垢 や から リツイート でき ない の が 笑う 😂 
",😂
"私 は 刀剣 乱舞 無双 、 豪華 版 買え ませ ん でし た 😂 
",😂
"どうしても トランプ 大統領 が ファイザー とか の クソワクチン を 推奨 し た って 流布 し たい みたい だ けど 、 イヴァンカ さん が 早々 に 本当 の こと 言っ ちゃっ てる から 😂 www 
",😂
"なんか アレ な 感じ 😂 これ は これ で 面白い 😂 www 
",😂
"テテ 見 て しまっ て た 😂💦 グク は きっと 今日 は 許し て あげる ♡ と 言っ て くれる はず 🥰 w 
",😂
"クマ は 🐻 でき ない よう に し なきゃ 😂 
",😂
"作業 見張っ て 頂け た から めちゃくちゃ 進ん だ ～ 😂 あざ ます あざ ます 
",😂
"どうにか なり そう も ない の に 買っ て しまう 😂 
",😂
"ピンク ブラウン 絶対 似合う 🤦🏻 ‍♀ ️💞 友達 が やっ て た から 言っ て み た けど 写真 が 無く て 😂 今 探し て き た ！ 😂 こんな イメージ ！ 毛 先 ピンク を 重視 し たい なら 全体 は オレンジ に 近い ピンク に する と 可愛い の かも ！ 秋 っぽい ピンク って ピンク だけ で 作っ て ない イメージ ( 語彙 力 ) オレンジ っぽい 色 も 大体 は 入っ てる よ ね ！ 
",😂
"手 と 足 が 一緒 に 動き そう だ よ 😂 
",😂
"はかせ 速い の よ 😂💦 
",😂
"もう 追い付け ない 😂💦 
",😂
"とりあえず 一旦 寝る べし よ ね 😂 
",😂
"一 発 目 の 下手 メイク な ので はずかしい 😂 たしか 筆 も 結構 太め の やつ で 無理 くり がんばっ て やっ た し いま だっ たら もっと ちゃんと 調べ て 揃え て やる よお 〜 
",😂
"オジサン なっ て て 草 😂 
",😂
"ていう か リトミック の 話 、 授乳 中 に Twitter 開く まで 綺麗 に 忘れ て た わ 。 記憶 が どんどん 上書き さ れ て いっ て しまう 産後 脳 😂 
",😂
"前半 は オレ が サポート ボーカル だ と 思っ て た けど 、 何 も 動き も 連絡 も ない まま 気づい たら ハク 君 に 交代 し て た 😂 
",😂
"オレ は 最初 から いら ん かっ た な 😂 
",😂
"シンプル に あや ペン 多く て 笑う ん よ 😂💕 
",😂
"スポーツ しとる 人 意味 不明 な くらい ご飯 食べる で 😂 
",😂
"ゲーム やら ん こと ない けど ゲーセン に ある ゲーム と スマ ホ の ソシャゲ 2 つ だけ で それ 以外 わから ん 😂 
",😂
"点滴 の 匂い 😂 
",😂
"今日 も 一 日 お疲れさま ！ なにか 忘れ て ませ ん か ？ 😆 チアチア し て から 寝よ う 😂 
",😂
"うたた寝 し て た 😂 
",😂
"今 が 踏ん張り 時 だ と 思っ て 、 頑張る しか ない ね … ！ 母 も 成長 の 時 だ わ 😂 
",😂
"戸部 くん と 私 の カップリング 固定 です 地雷 です 去れ ーーーーーーーーーーーーー 😀😃😄😁😆😅😂🤣🥲 ☺ ️ 😊 😇 🙃 🙂 😉 😌 😍🥰😘😗😙😚😋😛😝😜🤪🤨🧐🤓😎🥸🤩🥳😏😒😞😟😔😕🙁 ☹ ️😣😖😫😩🥺😢😭😤😠😡🤬🤯😳🥵🥶😱😶 ‍ 🌫 ️😨😰😥😓🤔🤗🤭🤫🤥😶😐😑😬🙄😯😦😧😮🥱😲😴🤤😪😮 ‍ 💨😵😵 ‍ 💫🤐🥴🤢🤮🤧😷🤒🤕🤑🤠 
",😂
"そんな ハプニング が あっ た ん です ねー 😂😂😂 
",😂
"本当に ゆる ～～ くに なる かも だ けど 😂😂 
",😂
"ハマっ ちゃ い ます よ 😂😂 
",😂
"痛い でしょ 😂 
",😂
